"ID",Date,Category,Total Duration,Apps Breakdown,Summary,Timestamp
1,12/8/2025,gamedev,16m 30s,"Unity: 15m 48s, Programming: 40s",GetReady Scene setup,2025-12-08T03:51:05.000Z
2,12/8/2025,gamedev,46m 22s,"Unity: 48m 59s, Programming: 6m 23s, LLM: 58s",Get ready scene polish (finished),2025-12-08T07:51:05.000Z
3,12/8/2025,planning,10m 28s,Programming: 10m 28s,fix timer bugs,2025-12-08T09:29:53.608Z
4,12/8/2025,planning,18m 15s,"Programming: 12m 2s, LLM: 3m 13s, Blog: 2m 58s",Update timer (URL detection - Chrome extension),2025-12-08T10:18:57.028Z
5,12/8/2025,blog,14m 33s,"Blog: 6m 33s, LLM: 5m 38s, Unity: 2m 22s",Intro scene blog post,2025-12-08T11:05:53.037Z
6,12/9/2025,planning,13m 12s,Manual Timer: 13m 12s,Brainstorm demo version (MVP),2025-12-09T15:08:33.326Z
7,12/10/2025,gamedev,42m 16s,"Unity: 34m 10s, Programming: 5m 39s, LLM: 2m 6s, Blog: 21s","Add Demo (Wavelength comics, Chapter 1 outro)",2025-12-09T16:00:15.768Z
8,12/10/2025,blog,1h 7m,"Blog: 42m 30s, LLM: 17m 6s, Unity: 7m 27s",blog the process,2025-12-10T08:03:57.359Z
9,12/11/2025,gamedev,26m 50s,"Unity: 26m 33s, LLM: 17s",Work on demo development (conflict ideation / drawing / adding it to unity),2025-12-11T09:38:07.279Z
10,12/12/2025,planning,5m 32s,"Programming: 5m 29s, Blog: 3s",Fix timer bug,2025-12-12T10:50:39.379Z
